Index,CRASH DATE,BOROUGH,LATITUDE,LONGITUDE,PERSONS INJURED,PERSONS KILLED,PEDESTRIANS INJURED,PEDESTRIANS KILLED,CYCLIST INJURED,CYCLIST KILLED,MOTORIST INJURED,MOTORIST KILLED,CONTRIBUTING FACTOR,VEHICLE TYPE
9757,1/31/2022,MANHATTAN,40.78996,-73.94291,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Station Wagon/Sport Utility Vehicle
9758,1/28/2022,BROOKLYN,40.62935,-74.024086,0,0,0,0,0,0,0,0,Unsafe Speed,Sedan
9759,1/26/2022,QUEENS,40.757336,-73.86849,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Bike
9760,1/29/2022,QUEENS,40.722786,-73.73544,0,0,0,0,0,0,0,0,Unspecified,Sedan
9761,1/31/2022,BROOKLYN,40.602497,-73.933846,2,0,0,0,0,0,2,0,Pavement Slippery,Station Wagon/Sport Utility Vehicle
9762,1/31/2022,BROOKLYN,40.6251,-73.96208,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
9763,1/31/2022,QUEENS,40.69671,-73.892525,0,0,0,0,0,0,0,0,Unspecified,Sedan
9764,1/28/2022,STATEN ISLAND,40.538044,-74.205734,0,0,0,0,0,0,0,0,Unspecified,Station Wagon/Sport Utility Vehicle
9765,4/14/2022,QUEENS,40.74539,-73.90662,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Bike
9766,4/13/2022,BRONX,40.813232,-73.90908,0,0,0,0,0,0,0,0,Unspecified,Sedan
9767,1/31/2022,MANHATTAN,40.799576,-73.935905,0,0,0,0,0,0,0,0,Alcohol Involvement,Station Wagon/Sport Utility Vehicle
9768,4/14/2022,BROOKLYN,40.68978,-73.965195,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Sedan
9769,4/13/2022,BRONX,40.845192,-73.8663,1,0,0,0,1,0,0,0,Driver Inexperience,E-Bike
9770,1/28/2022,QUEENS,40.714394,-73.895996,0,0,0,0,0,0,0,0,Passing Too Closely,Sedan
9771,4/14/2022,BRONX,40.872772,-73.877754,0,0,0,0,0,0,0,0,Passing Too Closely,Sedan
9772,4/13/2022,BRONX,40.840473,-73.87399,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi
9773,1/28/2022,MANHATTAN,40.798946,-73.94241,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle
9774,1/30/2022,QUEENS,40.600433,-73.76445,0,0,0,0,0,0,0,0,Passing Too Closely,Sedan
9775,1/31/2022,QUEENS,40.78449,-73.839455,0,0,0,0,0,0,0,0,Passing Too Closely,Station Wagon/Sport Utility Vehicle
9776,1/26/2022,QUEENS,40.690342,-73.78243,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,Sedan
9777,1/29/2022,QUEENS,40.665955,-73.76084,0,0,0,0,0,0,0,0,Unspecified,Sedan
9778,1/26/2022,BROOKLYN,40.590633,-73.94976,1,0,1,0,0,0,0,0,Unspecified,Sedan
9779,1/31/2022,BROOKLYN,40.67087,-73.91967,0,0,0,0,0,0,0,0,Unspecified,Station Wagon/Sport Utility Vehicle
