CRASH DATE,BOROUGH,LATITUDE,LONGITUDE,PERSONS INJURED,PERSONS KILLED,PEDESTRIANS INJURED,PEDESTRIANS KILLED,CYCLIST INJURED,CYCLIST KILLED,MOTORIST INJURED,MOTORIST KILLED,CONTRIBUTING FACTOR,VEHICLE TYPE
2022-03-26,BROOKLYN,40.68651,-73.98378,2.0,0.0,0,0,0,0,2,0,Passing or Lane Usage Improper,Station Wagon/Sport Utility Vehicle
2022-03-24,BROOKLYN,40.69831,-73.9498,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Sedan
2022-03-20,MANHATTAN,40.778805,-73.974075,1.0,0.0,1,0,0,0,0,0,Backing Unsafely,Sedan
2022-03-26,MANHATTAN,40.747894,-73.989174,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Sedan
2022-03-25,BRONX,40.83578,-73.871445,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Station Wagon/Sport Utility Vehicle
2022-03-26,BROOKLYN,40.60784,-73.961975,0.0,0.0,0,0,0,0,0,0,Fell Asleep,Station Wagon/Sport Utility Vehicle
2022-03-26,BROOKLYN,40.67848,-73.98232,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Taxi
2022-03-26,BROOKLYN,40.629475,-74.004166,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Sedan
2022-03-26,BROOKLYN,40.668797,-73.93113,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
2022-03-26,MANHATTAN,40.754707,-73.99164,1.0,0.0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Bike
2022-03-25,BRONX,40.85713,-73.8808,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
2022-03-26,BRONX,40.857418,-73.89996,0.0,0.0,0,0,0,0,0,0,Unsafe Speed,Station Wagon/Sport Utility Vehicle
2022-03-26,QUEENS,40.702972,-73.888054,0.0,0.0,0,0,0,0,0,0,Unsafe Speed,Sedan
2022-03-26,BROOKLYN,40.624474,-74.00668,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Station Wagon/Sport Utility Vehicle
2022-03-26,QUEENS,40.76532,-73.771904,0.0,0.0,0,0,0,0,0,0,Unspecified,Sedan
2022-03-26,STATEN ISLAND,40.609768,-74.06969,1.0,0.0,0,0,0,0,1,0,Traffic Control Disregarded,Station Wagon/Sport Utility Vehicle
2022-03-25,MANHATTAN,40.798286,-73.938705,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Taxi
2022-03-23,QUEENS,40.776764,-73.848015,0.0,0.0,0,0,0,0,0,0,Unspecified,Sedan
2022-03-26,QUEENS,40.747498,-73.91309,0.0,0.0,0,0,0,0,0,0,Unspecified,Sedan
2022-03-26,BROOKLYN,40.701637,-73.942276,1.0,0.0,0,0,0,0,1,0,Following Too Closely,Station Wagon/Sport Utility Vehicle
2022-03-26,QUEENS,40.69349,-73.826546,0.0,0.0,0,0,0,0,0,0,Unsafe Speed,Station Wagon/Sport Utility Vehicle
2022-03-26,QUEENS,40.726463,-73.85943,1.0,0.0,1,0,0,0,0,0,Unsafe Speed,Bike
2022-03-25,BRONX,40.856434,-73.886826,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Sedan
2022-03-22,BRONX,40.87151,-73.87057,1.0,0.0,0,0,1,0,0,0,Turning Improperly,Sedan
2022-03-26,BROOKLYN,40.68686,-73.96758,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Sedan
2022-03-26,QUEENS,40.678417,-73.729225,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Sedan
2022-03-14,QUEENS,40.692596,-73.79078,0.0,0.0,0,0,0,0,0,0,Unspecified,Station Wagon/Sport Utility Vehicle
2022-03-26,BRONX,40.88399,-73.82641,1.0,0.0,0,0,0,0,1,0,Following Too Closely,Box Truck
2022-03-26,BROOKLYN,40.683872,-73.95998,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi
2022-03-05,MANHATTAN,40.799484,-73.92929,0.0,0.0,0,0,0,0,0,0,Unspecified,Sedan
2022-03-26,MANHATTAN,40.766502,-73.99418,0.0,0.0,0,0,0,0,0,0,Unspecified,Sedan
2022-03-26,QUEENS,40.676304,-73.816284,0.0,0.0,0,0,0,0,0,0,Alcohol Involvement,Station Wagon/Sport Utility Vehicle
2022-03-26,BROOKLYN,40.66447,-73.89593,0.0,0.0,0,0,0,0,0,0,Unsafe Speed,Sedan
2022-03-25,QUEENS,40.743534,-73.93951,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Sedan
